icao,name,municipality,iso_country,type
RODE,Iejima Auxiliary Air Base,Ie,JP,small_airport
RODN,Kadena Air Base,Okinawa,JP,large_airport
ROIG,New Ishigaki Airport,Ishigaki,JP,medium_airport
ROKJ,Kumejima Airport,Kumejima,JP,medium_airport
ROKR,Kerama Airport,Zamami,JP,small_airport
ROMD,Minamidaito Airport,Minamidaito,JP,medium_airport
ROMY,Miyako Airport,Miyakojima,JP,medium_airport
RORA,Aguni Airport,Aguni,JP,small_airport
RORE,Iejima Airport,Ie,JP,medium_airport
RORH,Hateruma Airport,Taketomi,JP,small_airport
RORK,Kitadaito Airport,Kitadaitōjima,JP,medium_airport
RORS,Shimojishima Airport,Miyakojima,JP,medium_airport
RORT,Tarama Airport,Tarama,JP,medium_airport
RORY,Yoron Airport,Yoron,JP,medium_airport
ROTM,Futenma Marine Corps Air Station,,JP,medium_airport
ROYN,Yonaguni Airport,Yonaguni,JP,medium_airport
RP12,Pagbilao Grande Island Airport,Pagbilao,PH,small_airport
RP15,Isabel PASAR Airport,Isabel,PH,small_airport
RP17,Malita Airport,Malita,PH,small_airport
RPEN,El Nido Airport,El Nido,PH,small_airport
RPLA,Pinamalayan Airport,Pinamalayan,PH,small_airport
RPLB,Subic Bay International Airport / Naval Air Station Cubi Point,Olongapo,PH,large_airport
RPLC,Clark International Airport / Clark Air Base,Mabalacat,PH,large_airport
RPLE,Balesin Island Airport,Balesin,PH,small_airport
RPLH,Cagayan North International Airport,Lal-lo,PH,medium_airport
RPLI,Laoag International Airport,Laoag City,PH,large_airport
RPLJ,Jomalig Island Airport,Jomalig,PH,small_airport
RPLK,Bicol International Airport,Legazpi,PH,large_airport
RPLL,Ninoy Aquino International Airport,Manila (Pasay),PH,large_airport
RPLN,Palanan Community Airport,Palanan,PH,small_airport
RPLO,Cuyo Airport,Cuyo,PH,small_airport
RPLQ,Colonel Ernesto Rabina Air Base,Capas,PH,small_airport
RPLR,Carmen (Rosales) Airstrip,Rosales,PH,small_airport
RPLS,Danilo Atienza Air Base,Cavite,PH,medium_airport
RPLT,Itbayat Jorge Abad Airport,Itbayat,PH,medium_airport
RPLU,Lubang Airport,Lubang,PH,medium_airport
RPLV,Fort Magsaysay Airport,Santa Rosa,PH,small_airport
RPLX,Corregidor Airport (Kindley Field),Corregidor,PH,small_airport
RPLY,Alabat Island Airport,Perez,PH,small_airport
RPLZ,Bacon Community Airport,Sorsogon,PH,small_airport
RPMA,Allah Valley Airport,Surallah,PH,medium_airport
RPMB,Rajah Buayan Air Base,General Santos City,PH,medium_airport
RPMC,Cotabato (Awang) Airport,Datu Odin Sinsuat,PH,medium_airport
RPMD,Francisco Bangoy International Airport,Davao,PH,large_airport
RPME,Bancasi Airport,Butuan,PH,medium_airport
RPMF,Bislig Airport,Bislig,PH,medium_airport
RPMG,Dipolog Airport,Dipolog,PH,medium_airport
RPMH,Camiguin Airport,Mambajao,PH,medium_airport
RPMI,Maria Cristina (Iligan) Airport,Balo-i,PH,small_airport
RPMJ,Jolo Airport,Jolo,PH,medium_airport
RPML,Lumbia Airfield,Cagayan de Oro,PH,small_airport
RPMM,Malabang Airport,Malabang,PH,small_airport
RPMN,Sanga Sanga Airport,Bongao,PH,medium_airport
RPMO,Labo Airport,Ozamiz,PH,medium_airport
RPMP,Pagadian Airport,Pagadian,PH,medium_airport
RPMQ,Mati National Airport,Mati,PH,medium_airport
RPMR,General Santos International Airport,General Santos,PH,large_airport
RPMS,Surigao Airport,Surigao City,PH,medium_airport
RPMU,Cagayan de Sulu Airport,Mapun,PH,small_airport
RPMV,Ipil Airport,Ipil,PH,small_airport
RPMW,Tandag Airport,Tandag,PH,medium_airport
RPMX,Liloy Community Airport,Liloy,PH,small_airport
RPMY,Laguindingan International Airport,Laguindingan,PH,large_airport
RPMZ,Zamboanga International Airport,Zamboanga,PH,large_airport
RPNS,Siargao Airport,Del Carmen,PH,small_airport
RPSB,Bantayan Airport,Santa Fe,PH,small_airport
RPSD,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,Taytay,PH,small_airport
RPSM,Maasin Airport,Maasin,PH,small_airport
RPSN,Ubay Community Airport,Ubay,PH,small_airport
RPSP,Bohol-Panglao International Airport,Panglao,PH,large_airport
RPSV,San Vicente Airport,San Vicente,PH,small_airport
RPUA,Pamalican Airstrip,Agutaya,PH,small_airport
RPUB,Loakan Airport,Baguio,PH,medium_airport
RPUD,Daet Airport,Daet,PH,medium_airport
RPUE,Semirara Airport,Caluya,PH,small_airport
RPUF,Basa Air Base,Floridablanca,PH,small_airport
RPUG,Lingayen Airport,Lingayen,PH,small_airport
RPUH,San Jose Airport,San Jose,PH,medium_airport
RPUI,Iba Airport,Iba,PH,small_airport
RPUJ,Castillejos - Jesus F Magsaysay Airfield,Castillejos,PH,small_airport
RPUK,Calapan National Airport,Calapan,PH,small_airport
RPUL,Basilio Fernando Air Base,Lipa,PH,small_airport
RPUM,Mamburao Airport,Mamburao,PH,medium_airport
RPUN,Naga Airport,Naga,PH,medium_airport
RPUO,Basco Airport,Basco,PH,medium_airport
RPUP,Jose Panganiban (Larap) Airstrip,Larap,PH,small_airport
RPUQ,Vigan Airport,Vigan City,PH,small_airport
RPUR,Dr. Juan C. Angara Airport,Baler,PH,medium_airport
RPUS,San Fernando Airport,San Fernando,PH,medium_airport
RPUT,Tuguegarao Airport,Tuguegarao City,PH,medium_airport
RPUU,Bulan Airport,Bulan,PH,small_airport
RPUV,Virac Airport,Virac,PH,medium_airport
RPUW,Marinduque Airport,Gasan,PH,medium_airport
RPUX,Plaridel Airport,Plaridel,PH,small_airport
RPUY,Cauayan Airport,Cauayan City,PH,medium_airport
RPUZ,Bagabag Airport,,PH,small_airport
RPVA,Daniel Z. Romualdez Airport,Tacloban City,PH,medium_airport
RPVB,Bacolod-Silay International Airport,Bacolod City,PH,large_airport
RPVC,Calbayog Airport,Calbayog City,PH,medium_airport
RPVD,Sibulan Airport,Dumaguete City,PH,medium_airport
RPVE,Godofredo P. Ramos Airport,Caticlan,PH,medium_airport
RPVF,Catarman National Airport,Catarman,PH,medium_airport
RPVG,Guiuan Airport,Guiuan,PH,small_airport
RPVH,Hilongos Airport,Hilongos,PH,small_airport
RPVI,Iloilo International Airport,Cabatuan,PH,large_airport
RPVJ,Moises R. Espinosa Airport,Masbate,PH,medium_airport
RPVK,Kalibo International Airport,Kalibo,PH,large_airport
RPLG,Wasig Airport,Mansalay,PH,small_airport
RPVM,Mactan Cebu International Airport,Cebu City/Lapu-Lapu City,PH,large_airport
RPVO,Ormoc Airport,Ormoc City,PH,medium_airport
RPVP,Puerto Princesa International Airport / PAF Antonio Bautista Air Base,Puerto Princesa,PH,large_airport
RPVQ,Biliran Airport,,PH,small_airport
RPVR,Roxas Airport,Roxas City,PH,medium_airport
RPVS,Evelio Javier Airport,San Jose,PH,medium_airport
RPVU,Tugdan Airport,Tablas Island,PH,medium_airport
RPVV,Francisco B. Reyes (Busuanga) Airport,Coron,PH,medium_airport
RPVW,Borongan Airport,Borongan City,PH,small_airport
RPVY,Catbalogan Airport,Catbalogan,PH,small_airport
RPVZ,Siquijor Airport,Siquijor,PH,small_airport
LYBC,Bela Crkva Airfield,Bela Crkva,RS,small_airport
LYZP,Zemun Polje 13 May Airfield,Zemun Polje,RS,small_airport
LYSD,Smederevo Airfield,Smederevo,RS,small_airport
LYPJ,Pranjani / Galovica Polje Airfield,Pranjani,RS,small_airport
LYKG,Kragujevac / Mind Airfield,Lužnice,RS,small_airport
YRAY,Rose Bay Seaplane Base,Sydney,AU,seaplane_base
OERS,Red Sea International Airport,Hanak,SA,large_airport
ZA2N,Arabatuk Air Base,Dauriya,RU,small_airport
XIAB,Bada Air Base,Bada,RU,medium_airport
UWOI,Chebenki Air Base,Orenburg,RU,small_airport
UHSJ,Korsakov Pushistyy Aerodrome,Korsakov,RU,small_airport
UNKN,Kansk West Airport,Kansk,RU,small_airport
UIIR,Irkutsk Northwest Airport,Irkutsk,RU,medium_airport
UWKP,Menzelinsk Airport,Menzelinsk,RU,small_airport
USMQ,Yamburg Airport,Yamburg,RU,medium_airport
UIIN,Kyren Airport,Kyren,RU,small_airport
UIKG,Taksimo Airport,Taksimo,RU,small_airport
ULSM,Manushkino Airfield,Manushkino,RU,small_airport
UNQK,Kuznetsovo Airfield,,RU,small_airport
ULSG,Gostilitsy Airfield,Gostilitsy,RU,small_airport
